Date,Temperature
01-01-2009,20.6
01-02-2009,23.4
01-03-2009,27.4
01-04-2009,31.5
01-05-2009,29.9
01-06-2009,31.5
01-07-2009,29
01-08-2009,29
01-09-2009,29.1
01-10-2009,27.4
01-11-2009,24.7
01-12-2009,19.6
01-01-2010,17.5
01-02-2010,23
01-03-2010,29.3
01-04-2010,31.6
01-05-2010,30.5
01-06-2010,30.5
01-07-2010,29.6
01-08-2010,29.7
01-09-2010,28.9
01-10-2010,28.1
01-11-2010,25.6
01-12-2010,19.4
01-01-2011,17.9
01-02-2011,22.4
01-03-2011,27.1
01-04-2011,28.9
01-05-2011,29.9
01-06-2011,29.6
01-07-2011,29.6
01-08-2011,28.8
01-09-2011,28.7
01-10-2011,28.5
01-11-2011,24.3
01-12-2011,20.1
01-01-2012,19.3
01-02-2012,22.5
01-03-2012,28
01-04-2012,29.9
01-05-2012,31.7
01-06-2012,31.4
01-07-2012,29.4
01-08-2012,29.2
01-09-2012,29.2
01-10-2012,27.5
01-11-2012,23.7
01-12-2012,19.5
01-01-2013,18.5
01-02-2013,22.2
01-03-2013,28.2
01-04-2013,30.2
01-05-2013,29.9
01-06-2013,29.6
01-07-2013,29.2
01-08-2013,28.6
01-09-2013,29
01-10-2013,27
01-11-2013,23.5
01-12-2013,19.8
01-01-2014,17.9
01-02-2014,21.4
01-03-2014,27.1
01-04-2014,31.7
01-05-2014,31.2
01-06-2014,30.4
01-07-2014,29.4
01-08-2014,29.4
01-09-2014,29.3
01-10-2014,27.7
01-11-2014,23.8
01-12-2014,19.3
01-01-2015,19.2
01-02-2015,23.2
01-03-2015,26.8
01-04-2015,29
01-05-2015,31.6
01-06-2015,30.1
01-07-2015,28.5
01-08-2015,29.8
01-09-2015,30
01-10-2015,28.5
01-11-2015,25.3
01-12-2015,21.3
01-01-2016,19.7
01-02-2016,25.2
01-03-2016,28.9
01-04-2016,32.4
01-05-2016,30.9
01-06-2016,30.6
01-07-2016,29.1
01-08-2016,29.2
01-09-2016,29.3
01-10-2016,28.5
01-11-2016,24.2
01-12-2016,20.4
01-01-2017,19.2
01-02-2017,23.5
01-03-2017,26.4
01-04-2017,30.3
01-05-2017,31.1
01-06-2017,30.3
01-07-2017,29.1
01-08-2017,28.9
01-09-2017,29.5
01-10-2017,27.4
01-11-2017,23.3
01-12-2017,19.9
01-01-2018,17.1
01-02-2018,24.1
01-03-2018,28.5
01-04-2018,29.5
01-05-2018,29.7
01-06-2018,30.1
01-07-2018,28.8
01-08-2018,29.1
01-09-2018,29.4
01-10-2018,27.8
01-11-2018,24.2
01-12-2018,18.7
01-01-2019,18.6
01-02-2019,22
01-03-2019,26.6
01-04-2019,29.6
01-05-2019,30.9
01-06-2019,30.7
01-07-2019,30.1
